;date;campaign_id;ad_set_id;ad_id;cpm;ctr;spend;clicks;impressions;breakdown_set; breakdowns_old;platform;country_code
107458;2021-01-05;23846864424300262;23846864424370262;23846864424340262;41.25;0.0;0.33;0;8;{country};"{""country"": ""MX""}";ios;MX
107469;2021-01-05;23846864398700262;23846864398600262;23846864398630262;33.5;5.0;0.67;1;20;{country};"{""country"": ""RU""}";ios;RU
107478;2021-01-05;23846864398700262;23846864398600262;23846864398630262;35.0;50.0;0.14;2;4;{country};"{""country"": ""MX""}";ios;MX
107498;2021-01-05;23846864398700262;23846864398600262;23846864398630262;151.73913043;0.0;3.49;0;23;{country};"{""country"": ""AU""}";ios;AU
107516;2021-01-05;23846864398700262;23846864398600262;23846864398610262;17.08333333;0.0;0.82;0;48;{country};"{""country"": ""RU""}";ios;RU
107523;2021-01-05;23846864398700262;23846864398600262;23846864398610262;10.0;0.0;0.01;0;1;{country};"{""country"": ""MX""}";ios;MX
107551;2021-01-05;23846864398700262;23846864398600262;23846864398610262;85.27777778;2.77777778;3.07;1;36;{country};"{""country"": ""AU""}";ios;AU
107573;2021-01-05;23846853080700262;23846853080670262;23846853674520262;2.24507678;2.13523132;0.63086657496561;6;281;{country};"{""country"": ""RU""}";ios;RU
107585;2021-01-05;23846853080700262;23846853080670262;23846853674520262;6.00825309;0.0;0.030041265474553;0;5;{country};"{""country"": ""MX""}";ios;MX
107597;2021-01-05;23846853080700262;23846853080670262;23846853674520262;0.0;0.0;0.0;0;8;{country};"{""country"": ""IN""}";ios;IN
107622;2021-01-05;23846853080700262;23846853080670262;23846853674520262;14.51994498;0.0;0.29039889958735;0;20;{country};"{""country"": ""AU""}";ios;AU
107640;2021-01-05;23846853080700262;23846853080670262;23846853674510262;5.0;0.0;0.17;0;34;{country};"{""country"": ""RU""}";ios;RU
107648;2021-01-05;23846853080700262;23846853080670262;23846853674510262;7.5;0.0;0.03;0;4;{country};"{""country"": ""MX""}";ios;MX
107663;2021-01-05;23846864424300262;23846864424330262;23846864424270262;81.59360023;0.0;0.65274880180434;0;8;{country};"{""country"": ""MX""}";ios;MX
107698;2021-01-05;23846853080700262;23846853080670262;23846853674500262;3.20894927;1.88679245;0.68029724610229;4;212;{country};"{""country"": ""RU""}";ios;RU
107720;2021-01-05;23846853080700262;23846853080670262;23846853674500262;2.30870106;3.07692308;0.15006556899315;2;65;{country};"{""country"": ""MX""}";ios;MX
107743;2021-01-05;23846853080700262;23846853080670262;23846853674500262;0.73391141;1.15830116;0.19008305405799;3;259;{country};"{""country"": ""IN""}";ios;IN
107786;2021-01-05;23846853080700262;23846853080670262;23846853674500262;16.23244465;1.12676056;5.762517849337;4;355;{country};"{""country"": ""AU""}";ios;AU
107811;2021-01-05;23846853080700262;23846853080670262;23846853674490262;3.31787694;0.30612245;3.2515194015895;3;980;{country};"{""country"": ""RU""}";ios;RU
107826;2021-01-05;23846853080700262;23846853080670262;23846853674490262;1.4292393;0.0;0.010004675081814;0;7;{country};"{""country"": ""MX""}";ios;MX
107843;2021-01-05;23846853080700262;23846853080670262;23846853674490262;1.57968554;0.0;0.030014025245442;0;19;{country};"{""country"": ""IN""}";ios;IN
107872;2021-01-05;23846853080700262;23846853080670262;23846853674490262;9.09515917;0.0;0.10004675081814;0;11;{country};"{""country"": ""AU""}";ios;AU
107882;2021-01-05;23846864398700262;23846864398670262;23846864398640262;4.10237866;2.56410256;0.15999276770782;1;39;{country};"{""country"": ""MX""}";ios;MX
107899;2021-01-05;23846864398700262;23846864398670262;23846864398640262;11.11060887;0.0;0.39998191926954;0;36;{country};"{""country"": ""IN""}";ios;IN
107928;2021-01-05;23846864398700262;23846864398670262;23846864398640262;37.80048907;0.36630037;10.319533517154;1;273;{country};"{""country"": ""AU""}";ios;AU
107964;2021-01-05;23846853080700262;23846853080720262;23846853674450262;4.04219761;0.77279753;2.6153018529588;5;647;{country};"{""country"": ""RU""}";ios;RU
107982;2021-01-05;23846853080700262;23846853080720262;23846853674450262;1.81492148;0.0;0.039928272564256;0;22;{country};"{""country"": ""MX""}";ios;MX
108001;2021-01-05;23846853080700262;23846853080720262;23846853674450262;0.0;0.0;0.0;0;22;{country};"{""country"": ""IN""}";ios;IN
108036;2021-01-05;23846853080700262;23846853080720262;23846853674450262;31.99731432;0.0;2.335803945009;0;73;{country};"{""country"": ""AU""}";ios;AU
108060;2021-01-05;23846853080700262;23846853080720262;23846853674440262;2.07683073;1.56062425;1.73;13;833;{country};"{""country"": ""RU""}";ios;RU
108075;2021-01-05;23846853080700262;23846853080720262;23846853674440262;0.0;0.0;0.0;0;11;{country};"{""country"": ""MX""}";ios;MX
108092;2021-01-05;23846853080700262;23846853080720262;23846853674440262;0.0;5.88235294;0.0;1;17;{country};"{""country"": ""IN""}";ios;IN
108124;2021-01-05;23846853080700262;23846853080720262;23846853674440262;19.33333333;3.33333333;0.58;1;30;{country};"{""country"": ""AU""}";ios;AU
108147;2021-01-05;23846853080700262;23846853080670262;23846853674510262;5.0;0.0;0.01;0;2;{country};"{""country"": ""AU""}";ios;AU
108174;2021-01-05;23846852937490262;23846852937540262;23846853622240262;17.83025778;0.0;3.6908633598503;0;207;{country};"{""country"": ""AU""}";ios;AU
108194;2021-01-05;23846852937490262;23846852937540262;23846853622210262;6.66666667;0.0;0.08;0;12;{country};"{""country"": ""RU""}";ios;RU
108206;2021-01-05;23846852937490262;23846852937540262;23846853622210262;5.38461538;0.0;0.07;0;13;{country};"{""country"": ""MX""}";ios;MX
108246;2021-01-05;23846852937490262;23846852937540262;23846853622210262;27.5;0.0;1.32;0;48;{country};"{""country"": ""AU""}";ios;AU
108260;2021-01-05;23846852937490262;23846852937550262;23846853622190262;22.72727273;0.0;0.25;0;11;{country};"{""country"": ""RU""}";ios;RU
108269;2021-01-05;23846852937490262;23846852937550262;23846853622190262;0.0;0.0;0.0;0;1;{country};"{""country"": ""MX""}";ios;MX
108295;2021-01-05;23846852937490262;23846852937550262;23846853622190262;70.0;16.66666667;0.42;1;6;{country};"{""country"": ""AU""}";ios;AU
108314;2021-01-05;23846852937490262;23846852937550262;23846853622180262;16.29107981;0.46948357;3.47;1;213;{country};"{""country"": ""RU""}";ios;RU
108326;2021-01-05;23846852937490262;23846852937550262;23846853622180262;13.75;0.0;0.11;0;8;{country};"{""country"": ""MX""}";ios;MX
108388;2021-01-05;23846853080700262;23846853080720262;23846853674460262;3.79366808;0.3058104;1.2405294619983;1;327;{country};"{""country"": ""RU""}";ios;RU
108409;2021-01-05;23846853080700262;23846853080720262;23846853674460262;1.53911844;1.0989011;0.14005977796755;1;91;{country};"{""country"": ""MX""}";ios;MX
108433;2021-01-05;23846853080700262;23846853080720262;23846853674460262;0.7470721;0.0;0.23009820666097;0;308;{country};"{""country"": ""IN""}";ios;IN
108478;2021-01-05;23846853080700262;23846853080720262;23846853674460262;16.12074177;0.4950495;6.512779675491;2;404;{country};"{""country"": ""AU""}";ios;AU
108497;2021-01-05;23846852794980262;23846852795020262;23846853598340262;1.91969471;2.30946882;0.83122781065089;10;433;{country};"{""country"": ""RU""}";ios;RU
108511;2021-01-05;23846852794980262;23846852795020262;23846853598340262;2.00295858;0.0;0.010014792899408;0;5;{country};"{""country"": ""MX""}";ios;MX
108528;2021-01-05;23846852794980262;23846852795020262;23846853598340262;0.0;6.25;0.0;1;16;{country};"{""country"": ""IN""}";ios;IN
108557;2021-01-05;23846852794980262;23846852795020262;23846853598340262;15.57856673;0.0;0.14020710059172;0;9;{country};"{""country"": ""AU""}";ios;AU
108577;2021-01-05;23846852794980262;23846852795020262;23846853598330262;2.75229358;0.91743119;0.3;1;109;{country};"{""country"": ""RU""}";ios;RU
108584;2021-01-05;23846852794980262;23846852795020262;23846853598330262;0.0;0.0;0.0;0;1;{country};"{""country"": ""MX""}";ios;MX
108597;2021-01-05;23846852794980262;23846852795020262;23846853598330262;5.0;0.0;0.01;0;2;{country};"{""country"": ""IN""}";ios;IN
108619;2021-01-05;23846852794980262;23846852795020262;23846853598330262;5.0;0.0;0.01;0;2;{country};"{""country"": ""AU""}";ios;AU
108646;2021-01-05;23846852794980262;23846852795010262;23846853598290262;3.5586769;0.3131524;3.4092124711316;3;958;{country};"{""country"": ""RU""}";ios;RU
108662;2021-01-05;23846852794980262;23846852795010262;23846853598290262;3.43670612;0.0;0.10997459584296;0;32;{country};"{""country"": ""MX""}";ios;MX
108680;2021-01-05;23846852794980262;23846852795010262;23846853598290262;0.83314088;0.0;0.019995381062356;0;24;{country};"{""country"": ""IN""}";ios;IN
108695;2021-01-05;23846852937490262;23846852937540262;23846853622240262;9.16298255;1.3986014;1.3103065044455;2;143;{country};"{""country"": ""RU""}";ios;RU
108711;2021-01-05;23846852937490262;23846852937540262;23846853622240262;2.65368197;0.0;0.13003041647169;0;49;{country};"{""country"": ""MX""}";ios;MX
108730;2021-01-05;23846852937490262;23846852937540262;23846853622240262;7.5017548;0.0;0.030007019185774;0;4;{country};"{""country"": ""IN""}";ios;IN
108763;2021-01-05;23846852794980262;23846852795010262;23846853598260262;0.0;0.0;0.0;0;3;{country};"{""country"": ""IN""}";ios;IN
108796;2021-01-05;23846852794980262;23846852795010262;23846853598260262;129.16666667;0.0;1.55;0;12;{country};"{""country"": ""AU""}";ios;AU
108810;2021-01-05;23846826212900262;23846826212880262;23846853362610262;15.625;0.0;0.25;0;16;{country};"{""country"": ""RU""}";ios;RU
108816;2021-01-05;23846826212900262;23846826212880262;23846853362610262;20.0;0.0;0.08;0;4;{country};"{""country"": ""MX""}";ios;MX
108842;2021-01-05;23846826212900262;23846826212880262;23846853362610262;150.0;0.0;1.65;0;11;{country};"{""country"": ""AU""}";ios;AU
108873;2021-01-05;23846826212900262;23846826212880262;23846853362600262;20.35955318;1.10638298;23.92247498629;13;1175;{country};"{""country"": ""RU""}";ios;RU
108895;2021-01-05;23846826212900262;23846826212880262;23846853362600262;16.79521587;1.63043478;3.0903197202189;3;184;{country};"{""country"": ""MX""}";ios;MX
108919;2021-01-05;23846826212900262;23846826212880262;23846853362600262;21.7464359;2.3255814;1.8701934876406;2;86;{country};"{""country"": ""IN""}";ios;IN
108962;2021-01-05;23846852937490262;23846852937550262;23846853622180262;39.375;0.0;2.52;0;64;{country};"{""country"": ""AU""}";ios;AU
108970;2021-01-05;23846852937490262;23846852937550262;23846853622170262;3.33333333;0.0;0.02;0;6;{country};"{""country"": ""RU""}";ios;RU
108989;2021-01-05;23846852937490262;23846852937550262;23846853622160262;7.5;0.0;0.03;0;4;{country};"{""country"": ""RU""}";ios;RU
108995;2021-01-05;23846852937490262;23846852937550262;23846853622160262;0.0;0.0;0.0;0;1;{country};"{""country"": ""AU""}";ios;AU
109009;2021-01-05;23846826092990262;23846826093060262;23846853349490262;5.38461538;0.0;0.07;0;13;{country};"{""country"": ""MX""}";ios;MX
109026;2021-01-05;23846826092990262;23846826093060262;23846853349490262;1.66666667;0.0;0.01;0;6;{country};"{""country"": ""IN""}";ios;IN
109075;2021-01-05;23846911490980262;23846911490970262;23846911526290262;11.81709844;0.0;0.12998808286989;0;11;{country};"{""country"": ""RU""}";android;RU
109092;2021-01-05;23846911490980262;23846911490970262;23846911526290262;4.97671269;0.0;1.0899000794475;0;219;{country};"{""country"": ""MX""}";android;MX
109108;2021-01-05;23846911490980262;23846911490970262;23846911526290262;7.63288801;0.76335878;0.99990832976838;1;131;{country};"{""country"": ""IN""}";android;IN
109140;2021-01-05;23846911490980262;23846911490970262;23846911526290262;38.1964982;3.0;7.6392996394304;6;200;{country};"{""country"": ""AU""}";android;AU
109180;2021-01-05;23846864544430262;23846864544470262;23846864587910262;21.05263158;0.0;1.2;0;57;{country};"{""country"": ""AU""}";android;AU
109192;2021-01-05;23846864424300262;23846864424330262;23846864424380262;20.0;0.0;0.08;0;4;{country};"{""country"": ""RU""}";ios;RU
109200;2021-01-05;23846864424300262;23846864424330262;23846864424380262;6.66666667;0.0;0.04;0;6;{country};"{""country"": ""MX""}";ios;MX
109225;2021-01-05;23846864424300262;23846864424330262;23846864424380262;102.85714286;0.0;1.44;0;14;{country};"{""country"": ""AU""}";ios;AU
109256;2021-01-05;23846864424300262;23846864424370262;23846864424350262;32.14692959;0.67114094;14.369677526129;3;447;{country};"{""country"": ""RU""}";ios;RU
109274;2021-01-05;23846864424300262;23846864424370262;23846864424350262;24.63359353;0.0;2.0199546696438;0;82;{country};"{""country"": ""MX""}";ios;MX
109293;2021-01-05;23846864424300262;23846864424370262;23846864424350262;46.45057049;0.0;1.4399676852906;0;31;{country};"{""country"": ""IN""}";ios;IN
109334;2021-01-05;23846864424300262;23846864424370262;23846864424350262;78.85686909;0.73298429;75.308309985582;7;955;{country};"{""country"": ""AU""}";ios;AU
109353;2021-01-05;23846882600440262;23846882600480262;23846882600470262;3.95604396;1.0989011;0.36;1;91;{country};"{""country"": ""IN""}";ios;IN
109401;2021-01-05;23846882600440262;23846882600480262;23846882600470262;23.63636364;0.0;1.04;0;44;{country};"{""country"": ""AU""}";ios;AU
109452;2021-01-05;23846864544430262;23846864544470262;23846864595120262;39.65105629;0.0;1.1102295760083;0;28;{country};"{""country"": ""AU""}";android;AU
109472;2021-01-05;23846864424300262;23846864424330262;23846864424270262;3.86241895;0.0;0.050211446292642;0;13;{country};"{""country"": ""IN""}";ios;IN
109504;2021-01-05;23846864424300262;23846864424330262;23846864424270262;28.36946716;2.5;1.1347786862137;1;40;{country};"{""country"": ""AU""}";ios;AU
109513;2021-01-05;23846864424300262;23846864424330262;23846864424260262;10.0;25.0;0.04;1;4;{country};"{""country"": ""MX""}";ios;MX
109524;2021-01-05;23846864424300262;23846864424330262;23846864424260262;40.0;0.0;0.12;0;3;{country};"{""country"": ""AU""}";ios;AU
109545;2021-01-05;23846864398700262;23846864398670262;23846864398720262;22.85992184;0.0;0.16001945288754;0;7;{country};"{""country"": ""MX""}";ios;MX
109572;2021-01-05;23846864398700262;23846864398670262;23846864398720262;73.6756231;0.0;4.4205373860182;0;60;{country};"{""country"": ""AU""}";ios;AU
109602;2021-01-05;23846864398700262;23846864398670262;23846864398650262;8.33333333;0.0;0.05;0;6;{country};"{""country"": ""MX""}";ios;MX
109630;2021-01-05;23846864398700262;23846864398670262;23846864398650262;43.93939394;0.0;1.45;0;33;{country};"{""country"": ""AU""}";ios;AU
109653;2021-01-05;23846864398700262;23846864398670262;23846864398640262;6.95620729;0.0;0.15999276770782;0;23;{country};"{""country"": ""RU""}";ios;RU
109670;2021-01-05;23846826212900262;23846826212880262;23846853362600262;48.95075128;0.95846645;30.643170300165;6;626;{country};"{""country"": ""AU""}";ios;AU
109696;2021-01-05;23846826092990262;23846826093060262;23846853349490262;4.06779661;0.84745763;0.48;1;118;{country};"{""country"": ""RU""}";ios;RU
109707;2021-01-05;23846826248500262;23846826248480262;23846827323710262;37.49809728;0.0;16.536660898656;0;441;{country};"{""country"": ""AU""}";android;AU
109732;2021-01-05;23846826092990262;23846826093060262;23846827137990262;3.49888492;0.0;0.78025133724302;0;223;{country};"{""country"": ""RU""}";ios;RU
109754;2021-01-05;23846826092990262;23846826093060262;23846827137990262;2.97509628;2.5862069;0.69022233679191;6;232;{country};"{""country"": ""MX""}";ios;MX
109779;2021-01-05;23846826092990262;23846826093060262;23846827137990262;1.21660811;1.01351351;0.36011600180447;3;296;{country};"{""country"": ""IN""}";ios;IN
109823;2021-01-05;23846826092990262;23846826093060262;23846827137990262;20.21927906;0.53191489;7.6024489269833;2;376;{country};"{""country"": ""AU""}";ios;AU
109844;2021-01-05;23846826212900262;23846826212880262;23846827108280262;17.91666667;0.0;0.86;0;48;{country};"{""country"": ""RU""}";ios;RU
109854;2021-01-05;23846826212900262;23846826212880262;23846827108280262;10.0;0.0;0.06;0;6;{country};"{""country"": ""MX""}";ios;MX
109876;2021-01-05;23846826212900262;23846826212880262;23846827108280262;205.45454545;0.0;2.26;0;11;{country};"{""country"": ""AU""}";ios;AU
109899;2021-01-05;23846826212900262;23846826212880262;23846827108260262;31.2962963;0.46296296;6.76;1;216;{country};"{""country"": ""RU""}";ios;RU
109931;2021-01-05;23846826271770262;23846826271760262;23846827062740262;4.55534532;0.70955535;9.63;15;2114;{country};"{""country"": ""RU""}";ios;RU
109953;2021-01-05;23846826271770262;23846826271760262;23846827062740262;7.12;0.8;0.89;1;125;{country};"{""country"": ""MX""}";ios;MX
109975;2021-01-05;23846826271770262;23846826271760262;23846827062740262;0.625;0.0;0.01;0;16;{country};"{""country"": ""IN""}";ios;IN
110014;2021-01-05;23846826271770262;23846826271760262;23846827062740262;25.53763441;0.53763441;4.75;1;186;{country};"{""country"": ""AU""}";ios;AU
110042;2021-01-05;23846826271770262;23846826271780262;23846827061970262;4.93419564;1.15424974;4.7022884409387;11;953;{country};"{""country"": ""RU""}";ios;RU
110060;2021-01-05;23846826271770262;23846826271780262;23846827061970262;8.2393039;0.98039216;0.84040899795501;1;102;{country};"{""country"": ""MX""}";ios;MX
110080;2021-01-05;23846826271770262;23846826271780262;23846827061970262;4.60223975;0.0;0.2301119875353;0;50;{country};"{""country"": ""IN""}";ios;IN
110151;2021-01-05;23846826014940262;23846826014980262;23846827202560262;31.03389903;0.6302521;14.77213593637;3;476;{country};"{""country"": ""AU""}";ios;AU
110173;2021-01-05;23846826092990262;23846826093060262;23846827138000262;3.30645161;0.30241935;3.28;3;992;{country};"{""country"": ""RU""}";ios;RU
110189;2021-01-05;23846826092990262;23846826093060262;23846827138000262;4.44444444;0.0;0.04;0;9;{country};"{""country"": ""MX""}";ios;MX
110208;2021-01-05;23846826092990262;23846826093060262;23846827138000262;0.83333333;0.0;0.02;0;24;{country};"{""country"": ""IN""}";ios;IN
110242;2021-01-05;23846826092990262;23846826093060262;23846827138000262;20.0;0.0;0.24;0;12;{country};"{""country"": ""AU""}";ios;AU
110279;2021-01-05;23846826271770262;23846826271780262;23846827057480262;5.76332027;0.14705882;3.9190577829055;1;680;{country};"{""country"": ""RU""}";ios;RU
110302;2021-01-05;23846826271770262;23846826271780262;23846827057480262;3.65067362;0.47732697;1.5296322468993;2;419;{country};"{""country"": ""MX""}";ios;MX
110327;2021-01-05;23846826271770262;23846826271780262;23846827057480262;3.67287584;1.41843972;2.5893774637054;10;705;{country};"{""country"": ""IN""}";ios;IN
110370;2021-01-05;23846826271770262;23846826271780262;23846827057480262;32.75710152;0.0;7.1082910297087;0;217;{country};"{""country"": ""AU""}";ios;AU
110400;2021-01-05;23846826271770262;23846826271780262;23846827057470262;6.26223913;0.45703839;6.8508896103896;5;1094;{country};"{""country"": ""RU""}";ios;RU
110420;2021-01-05;23846826271770262;23846826271780262;23846827057470262;11.41939329;0.0;1.5301987012987;0;134;{country};"{""country"": ""MX""}";ios;MX
110440;2021-01-05;23846826271770262;23846826271780262;23846827057470262;3.50045455;2.85714286;0.49006363636364;4;140;{country};"{""country"": ""IN""}";ios;IN
110460;2021-01-05;23846826212900262;23846826212880262;23846827108260262;20.83333333;0.0;0.25;0;12;{country};"{""country"": ""MX""}";ios;MX
110477;2021-01-05;23846826212900262;23846826212880262;23846827108260262;20.0;0.0;0.04;0;2;{country};"{""country"": ""IN""}";ios;IN
110505;2021-01-05;23846826212900262;23846826212880262;23846827108260262;95.42857143;0.0;3.34;0;35;{country};"{""country"": ""AU""}";ios;AU
110524;2021-01-05;23846809413650262;23846809413790262;23846809494790262;24.90163934;0.49180328;15.19;3;610;{country};"{""country"": ""AU""}";android;AU
110529;2021-01-05;23846809413650262;23846809413790262;23846809494770262;31.60130719;0.16339869;19.34;1;612;{country};"{""country"": ""AU""}";android;AU
110534;2021-01-05;23846809413650262;23846809413790262;23846809494760262;40.40996821;0.0;4.2834566305928;0;106;{country};"{""country"": ""AU""}";android;AU
110539;2021-01-05;23846809413650262;23846809413790262;23846809494750262;22.32585311;0.53114437;46.236841793695;11;2071;{country};"{""country"": ""AU""}";android;AU
110544;2021-01-05;23846809361870262;23846809362000262;23846809403490262;19.96787931;0.0;6.2898819826908;0;315;{country};"{""country"": ""AU""}";ios;AU
110549;2021-01-05;23846809361870262;23846809362000262;23846809403470262;24.7266881;0.32154341;7.69;1;311;{country};"{""country"": ""AU""}";ios;AU
110570;2021-01-05;23846777526530262;23846777843660262;23846777843650262;22.99126168;0.0;1.3105019157088;0;57;{country};"{""country"": ""RU""}";ios;RU
110584;2021-01-05;23846777526530262;23846777843660262;23846777843650262;3.75143678;1.78571429;0.21008045977011;1;56;{country};"{""country"": ""MX""}";ios;MX
110601;2021-01-05;23846777526530262;23846777843660262;23846777843650262;22.50862069;0.0;0.090034482758621;0;4;{country};"{""country"": ""IN""}";ios;IN
110631;2021-01-05;23846777526530262;23846777843660262;23846777843650262;22.84825694;0.0;5.5521264367816;0;243;{country};"{""country"": ""AU""}";ios;AU
110659;2021-01-05;23846777526530262;23846777843660262;23846777843640262;6.50117888;1.66666667;0.78014146543683;2;120;{country};"{""country"": ""RU""}";ios;RU
110678;2021-01-05;23846777526530262;23846777843660262;23846777843640262;3.36859421;0.51975052;3.2405876256607;5;962;{country};"{""country"": ""MX""}";ios;MX
110700;2021-01-05;23846777526530262;23846777843660262;23846777843640262;3.91132378;1.11731844;0.70012695616126;2;179;{country};"{""country"": ""IN""}";ios;IN
110717;2021-01-05;23846826271770262;23846826271780262;23846827061970262;30.70459804;0.0;0.89043334307138;0;29;{country};"{""country"": ""AU""}";ios;AU
110737;2021-01-05;23846777526530262;23846777843660262;23846777843640262;19.42480929;0.56657224;47.998703751684;14;2471;{country};"{""country"": ""AU""}";ios;AU
110764;2021-01-05;23846777526530262;23846777843660262;23846777843620262;5.77134438;0.0;0.15005495400147;0;26;{country};"{""country"": ""RU""}";ios;RU
110781;2021-01-05;23846777526530262;23846777843660262;23846777843620262;6.66910907;1.42857143;1.4005129040137;3;210;{country};"{""country"": ""MX""}";ios;MX
110801;2021-01-05;23846777526530262;23846777843660262;23846777843620262;5.31444629;0.0;0.17006228120166;0;32;{country};"{""country"": ""IN""}";ios;IN
110837;2021-01-05;23846777526530262;23846777843660262;23846777843620262;32.36084467;0.0;9.6435317104942;0;298;{country};"{""country"": ""AU""}";ios;AU
110858;2021-01-05;23846679393290262;23846679393410262;23846699990150262;8.51720332;0.0;0.2299644897329;0;27;{country};"{""country"": ""RU""}";ios;RU
110878;2021-01-05;23846679393290262;23846679393410262;23846699990150262;21.28703552;3.22580645;0.65989810097267;1;31;{country};"{""country"": ""MX""}";ios;MX
110891;2021-01-05;23846679393290262;23846679393410262;23846699990150262;7.89351795;1.75438596;0.44993052339046;1;57;{country};"{""country"": ""IN""}";ios;IN
110914;2021-01-05;23846679393290262;23846679393410262;23846699990150262;183.30502805;0.0;2.1996603365756;0;12;{country};"{""country"": ""AU""}";ios;AU
110946;2021-01-05;23846826271770262;23846826271780262;23846827057470262;32.86141002;0.0;0.23002987012987;0;7;{country};"{""country"": ""AU""}";ios;AU
110987;2021-01-05;23846911615830262;23846911615870262;23846911637850262;14.48462332;0.0;1.6802163052995;0;116;{country};"{""country"": ""RU""}";android;RU
111011;2021-01-05;23846911615830262;23846911615870262;23846911637850262;5.65230516;0.68587106;8.2410609259927;10;1458;{country};"{""country"": ""MX""}";android;MX
111034;2021-01-05;23846911615830262;23846911615870262;23846911637850262;7.88563055;0.64102564;3.6904750991399;3;468;{country};"{""country"": ""IN""}";android;IN
111079;2021-01-05;23846911615830262;23846911615870262;23846911637850262;34.59577564;0.27749748;137.13765463254;11;3964;{country};"{""country"": ""AU""}";android;AU
111109;2021-01-05;23846911490980262;23846911490970262;23846911526280262;16.3153842;0.0;0.30999229976278;0;19;{country};"{""country"": ""RU""}";android;RU
111128;2021-01-05;23846911490980262;23846911490970262;23846911526280262;5.53357041;0.28089888;1.9699510662345;1;356;{country};"{""country"": ""MX""}";android;MX
111145;2021-01-05;23846911490980262;23846911490970262;23846911526280262;4.9998758;1.66666667;1.7999552889452;6;360;{country};"{""country"": ""IN""}";android;IN
111165;2021-01-05;23846826092990262;23846826093060262;23846853349490262;16.66666667;0.0;0.1;0;6;{country};"{""country"": ""AU""}";ios;AU
111172;2021-01-05;23846809361870262;23846809361930262;23846853344770262;29.42307692;0.96153846;3.06;1;104;{country};"{""country"": ""AU""}";ios;AU
111198;2021-01-05;23846678640800262;23846678641050262;23846853328500262;10.30953654;1.18906064;8.6703202334343;10;841;{country};"{""country"": ""RU""}";android;RU
111216;2021-01-05;23846678640800262;23846678641050262;23846853328500262;8.50777692;4.47761194;0.57002105340917;3;67;{country};"{""country"": ""MX""}";android;MX
111230;2021-01-05;23846678640800262;23846678641050262;23846853328500262;3.7314811;2.98507463;0.25000923395139;2;67;{country};"{""country"": ""IN""}";android;IN
111263;2021-01-05;23846678640800262;23846678641050262;23846853328500262;56.08902814;0.0;1.2900476471892;0;23;{country};"{""country"": ""AU""}";android;AU
111281;2021-01-05;23846777526530262;23846777843660262;23846844576600262;50.03534068;0.0;0.20014136273678;0;4;{country};"{""country"": ""RU""}";ios;RU
111291;2021-01-05;23846777526530262;23846777843660262;23846844576600262;3.33568938;0.0;0.020014136273678;0;6;{country};"{""country"": ""MX""}";ios;MX
111341;2021-01-05;23846852794980262;23846852795010262;23846853598290262;15.49642032;0.0;0.30992840646651;0;20;{country};"{""country"": ""AU""}";ios;AU
111366;2021-01-05;23846852794980262;23846852795010262;23846853598260262;4.9009901;0.0;0.99;0;202;{country};"{""country"": ""RU""}";ios;RU
111379;2021-01-05;23846852794980262;23846852795010262;23846853598260262;3.75;6.25;0.06;1;16;{country};"{""country"": ""MX""}";ios;MX
111390;2021-01-05;23846777526530262;23846777843660262;23846844576600262;27.68946038;0.0;2.8520144189992;0;103;{country};"{""country"": ""AU""}";ios;AU
111414;2021-01-05;23846826092990262;23846826093150262;23846827439990262;6.05691057;0.40650407;1.49;1;246;{country};"{""country"": ""RU""}";ios;RU
111432;2021-01-05;23846826092990262;23846826093150262;23846827439990262;8.33333333;8.33333333;0.1;1;12;{country};"{""country"": ""MX""}";ios;MX
111449;2021-01-05;23846826092990262;23846826093150262;23846827439990262;0.0;0.0;0.0;0;10;{country};"{""country"": ""IN""}";ios;IN
111482;2021-01-05;23846826092990262;23846826093150262;23846827439990262;37.14285714;0.0;0.26;0;7;{country};"{""country"": ""AU""}";ios;AU
111513;2021-01-05;23846826248500262;23846826248480262;23846827323710262;10.66451328;0.0;0.31993539828113;0;30;{country};"{""country"": ""RU""}";android;RU
111534;2021-01-05;23846826248500262;23846826248480262;23846827323710262;6.00573176;0.34722222;1.7296507469574;1;288;{country};"{""country"": ""MX""}";android;MX
111555;2021-01-05;23846826248500262;23846826248480262;23846827323710262;16.38558029;2.77777778;0.58988089058084;1;36;{country};"{""country"": ""IN""}";android;IN
111615;2021-01-05;23846911705950262;23846911705900262;23846911720010262;9.81735194;0.52356021;3.7502284414708;2;382;{country};"{""country"": ""RU""}";ios;RU
111638;2021-01-05;23846911705950262;23846911705900262;23846911720010262;6.14600545;1.3592233;6.3303856092026;14;1030;{country};"{""country"": ""MX""}";ios;MX
111661;2021-01-05;23846911705950262;23846911705900262;23846911720010262;9.01415453;1.36054422;2.6501614319727;4;294;{country};"{""country"": ""IN""}";ios;IN
111709;2021-01-05;23846911705950262;23846911705900262;23846911720010262;26.32807066;0.96754057;168.7102768203;62;6408;{country};"{""country"": ""AU""}";ios;AU
111739;2021-01-05;23846882600430262;23846882600560262;23846882600610262;24.5535662;0.61443932;31.968743191671;8;1302;{country};"{""country"": ""AU""}";ios;AU
111776;2021-01-05;23846882600420262;23846882600630262;23846882600600262;12.10964552;1.59554731;32.635494685827;43;2695;{country};"{""country"": ""RU""}";android;RU
111799;2021-01-05;23846882600420262;23846882600630262;23846882600600262;8.44430991;0.92807425;3.6394975691303;4;431;{country};"{""country"": ""MX""}";android;MX
