;date;campaign_id;ad_set_id;ad_id;cpm;ctr;spend;clicks;impressions;breakdown_set; breakdowns_old;platform;country_code
1713;2021-01-01;23847156717270369;23847156717260369;23847156717320369;20.0;0.0;0.32;0;16;{country};"{""country"": ""MX""}";ios;MX
1755;2021-01-01;23847157133130369;23847157133120369;23847157133210369;14.54545455;3.03030303;0.48;1;33;{country};"{""country"": ""MX""}";ios;MX
1799;2021-01-01;23847157133130369;23847157133120369;23847157133210369;31.73333333;0.0;4.76;0;150;{country};"{""country"": ""AU""}";ios;AU
1825;2021-01-01;23847157133170369;23847157133180369;23847157133200369;3.50415512;0.69252078;2.53;5;722;{country};"{""country"": ""RU""}";android;RU
1913;2021-01-01;23847157133170369;23847157133180369;23847157133200369;12.5382263;0.0;8.2;0;654;{country};"{""country"": ""AU""}";android;AU
1939;2021-01-01;23847156717270369;23847156717260369;23847156717310369;14.11764706;0.0;0.24;0;17;{country};"{""country"": ""MX""}";ios;MX
1973;2021-01-01;23847156717270369;23847156717260369;23847156717310369;37.17647059;1.17647059;3.16;1;85;{country};"{""country"": ""AU""}";ios;AU
2009;2021-01-01;23847156717270369;23847156717260369;23847156717300369;13.75;0.0;0.22;0;16;{country};"{""country"": ""MX""}";ios;MX
2056;2021-01-01;23847156717270369;23847156717260369;23847156717300369;30.80188679;0.0;6.53;0;212;{country};"{""country"": ""AU""}";ios;AU
2085;2021-01-01;23847156717270369;23847156717260369;23847156717290369;15.0;0.0;0.12;0;8;{country};"{""country"": ""MX""}";ios;MX
2122;2021-01-01;23847156717270369;23847156717260369;23847156717290369;24.6875;3.125;0.79;1;32;{country};"{""country"": ""AU""}";ios;AU
2168;2021-01-01;23847156667670369;23847156667640369;23847156667680369;24.92063492;0.0;1.57;0;63;{country};"{""country"": ""AU""}";ios;AU
2251;2021-01-01;23847156667670369;23847156667640369;23847156667660369;6.53179191;0.57803468;2.26;2;346;{country};"{""country"": ""MX""}";ios;MX
2427;2021-01-01;23847156631880369;23847156631890369;23847156631910369;31.25;0.0;0.5;0;16;{country};"{""country"": ""AU""}";android;AU
2445;2021-01-01;23847156631880369;23847156631890369;23847156631900369;7.8125;0.0;0.25;0;32;{country};"{""country"": ""RU""}";android;RU
2499;2021-01-01;23847156631880369;23847156631890369;23847156631900369;31.4;0.0;1.57;0;50;{country};"{""country"": ""AU""}";android;AU
2521;2021-01-01;23847156631880369;23847156631890369;23847156631870369;5.50724638;0.0;0.38;0;69;{country};"{""country"": ""RU""}";android;RU
2619;2021-01-01;23847156631880369;23847156631890369;23847156631860369;21.875;0.0;0.35;0;16;{country};"{""country"": ""AU""}";android;AU
2646;2021-01-01;23847156631880369;23847156631890369;23847156631850369;8.51282051;1.53846154;1.66;3;195;{country};"{""country"": ""RU""}";android;RU
2718;2021-01-01;23847156631880369;23847156631890369;23847156631850369;19.69187675;0.56022409;7.03;2;357;{country};"{""country"": ""AU""}";android;AU
2742;2021-01-01;23847156631880369;23847156631890369;23847156631840369;10.0;0.0;0.16;0;16;{country};"{""country"": ""RU""}";android;RU
2783;2021-01-01;23847156631880369;23847156631890369;23847156631910369;8.4375;0.0;0.54;0;64;{country};"{""country"": ""RU""}";android;RU
2834;2021-01-01;23847156585140369;23847156585160369;23847156585240369;40.60606061;6.06060606;1.34;2;33;{country};"{""country"": ""AU""}";android;AU
2850;2021-01-01;23847156585140369;23847156585160369;23847156585220369;25.0;2.94117647;0.85;1;34;{country};"{""country"": ""RU""}";android;RU
2888;2021-01-01;23847156585140369;23847156585160369;23847156585220369;58.125;0.0;0.93;0;16;{country};"{""country"": ""AU""}";android;AU
2900;2021-01-01;23847156585140369;23847156585160369;23847156585180369;7.14285714;0.0;0.05;0;7;{country};"{""country"": ""RU""}";android;RU
2934;2021-01-01;23847156585140369;23847156585160369;23847156585180369;77.14285714;0.0;0.54;0;7;{country};"{""country"": ""AU""}";android;AU
2953;2021-01-01;23847156585140369;23847156585160369;23847156585170369;20.79917373;1.13636364;1.8303272883357;1;88;{country};"{""country"": ""RU""}";android;RU
2998;2021-01-01;23847156631880369;23847156631890369;23847156631870369;17.5;0.92592593;1.89;1;108;{country};"{""country"": ""AU""}";android;AU
3019;2021-01-01;23847156631880369;23847156631890369;23847156631860369;8.0;0.0;0.12;0;15;{country};"{""country"": ""RU""}";android;RU
3049;2021-01-01;23847156585140369;23847156585160369;23847156585170369;63.18959376;1.5503876;8.1514575955932;2;129;{country};"{""country"": ""AU""}";android;AU
3064;2021-01-01;23847156585140369;23847156585160369;23847156585150369;35.0;0.0;0.14;0;4;{country};"{""country"": ""RU""}";android;RU
3095;2021-01-01;23847156585140369;23847156585160369;23847156585150369;34.0;0.0;0.17;0;5;{country};"{""country"": ""AU""}";android;AU
3128;2021-01-01;23847156335180369;23847156335210369;23847156335220369;3.0078125;1.171875;0.77;3;256;{country};"{""country"": ""RU""}";android;RU
3226;2021-01-01;23847156335180369;23847156335210369;23847156335220369;5.53571429;0.0;0.31;0;56;{country};"{""country"": ""AU""}";android;AU
3253;2021-01-01;23847156631880369;23847156631890369;23847156631840369;23.80952381;0.0;1.0;0;42;{country};"{""country"": ""AU""}";android;AU
3270;2021-01-01;23847156585140369;23847156585160369;23847156585260369;17.36842105;0.0;0.33;0;19;{country};"{""country"": ""RU""}";android;RU
3316;2021-01-01;23847156585140369;23847156585160369;23847156585260369;23.75;0.0;0.57;0;24;{country};"{""country"": ""AU""}";android;AU
3333;2021-01-01;23847156585140369;23847156585160369;23847156585240369;21.53846154;3.84615385;0.56;1;26;{country};"{""country"": ""RU""}";android;RU
3375;2021-01-01;23847156335180369;23847156335210369;23847156335190369;6.9140625;0.390625;1.77;1;256;{country};"{""country"": ""RU""}";android;RU
3470;2021-01-01;23847156335180369;23847156335210369;23847156335190369;18.23529412;5.88235294;0.31;1;17;{country};"{""country"": ""AU""}";android;AU
3506;2021-01-01;23847156335180369;23847156335210369;23847156335170369;8.57894737;1.57894737;1.63;3;190;{country};"{""country"": ""RU""}";android;RU
3551;2021-01-01;23847156335180369;23847156335210369;23847156335160369;3.50619195;0.69659443;4.53;9;1292;{country};"{""country"": ""RU""}";android;RU
3654;2021-01-01;23847156717270369;23847156717260369;23847156717280369;17.89473684;0.0;0.34;0;19;{country};"{""country"": ""MX""}";ios;MX
3682;2021-01-01;23847156717270369;23847156717260369;23847156717280369;30.0;4.47761194;2.01;3;67;{country};"{""country"": ""AU""}";ios;AU
3704;2021-01-01;23847156694480369;23847156694470369;23847156694520369;30.0;0.0;0.18;0;6;{country};"{""country"": ""MX""}";ios;MX
3742;2021-01-01;23847156694480369;23847156694470369;23847156694520369;215.82278481;6.32911392;17.05;5;79;{country};"{""country"": ""AU""}";ios;AU
3762;2021-01-01;23847156694480369;23847156694470369;23847156694510369;56.66666667;0.0;0.17;0;3;{country};"{""country"": ""MX""}";ios;MX
3866;2021-01-01;23847156667670369;23847156667640369;23847156667690369;18.02469136;1.2345679;1.46;1;81;{country};"{""country"": ""AU""}";ios;AU
3945;2021-01-01;23847156667670369;23847156667640369;23847156667680369;10.20979021;2.0979021;1.46;3;143;{country};"{""country"": ""MX""}";ios;MX
