hitId,anonymousId,hitTime,utm_campaign,utm_source,utm_medium
26d352a0-0b9b-11e8-833a-8f998797f5d0,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:09:24.763000 UTC,,,
27184ae0-0b9b-11e8-833a-8f998797f5d0,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:09:24.766000 UTC,,,
2bc6b7c0-0b9b-11e8-970c-97e4f373e330,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:09:31.759000 UTC,,,
2bc77b10-0b9b-11e8-970c-97e4f373e330,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:09:31.759000 UTC,,,
33b22730-0b9b-11e8-970c-97e4f373e330,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:09:45.042999 UTC,,,
33b31190-0b9b-11e8-970c-97e4f373e330,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:09:45.049999 UTC,,,
39522000-0b9b-11e8-9da6-899e16ac612e,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:09:54.476000 UTC,,,
3952e350-0b9b-11e8-9da6-899e16ac612e,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:09:54.480000 UTC,,,
3cef9210-0b9b-11e8-962b-f947f8a84ea1,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:00.542999 UTC,,,
3cf02e50-0b9b-11e8-962b-f947f8a84ea1,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:00.545000 UTC,,,
3d04eed0-0b9b-11e8-962b-f947f8a84ea1,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:00.684999 UTC,,,
3d056400-0b9b-11e8-962b-f947f8a84ea1,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:00.687000 UTC,,,
3fbe9090-0b9b-11e8-962b-f947f8a84ea1,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:05.259999 UTC,,,
3fbfa200-0b9b-11e8-962b-f947f8a84ea1,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:05.263999 UTC,,,
4561e4c0-0b9b-11e8-9ca4-b3c8b739c3c0,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:14.717000 UTC,,,
45628100-0b9b-11e8-9ca4-b3c8b739c3c0,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:14.720000 UTC,,,
47474690-0b9b-11e8-9d1b-1decb1943f71,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:17.895999 UTC,,,
474809e0-0b9b-11e8-9d1b-1decb1943f71,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:17.898999 UTC,,,
475c5530-0b9b-11e8-9d1b-1decb1943f71,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:18.032999 UTC,,,
475ca350-0b9b-11e8-9d1b-1decb1943f71,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:18.036000 UTC,,,
48f3be10-0b9b-11e8-9d1b-1decb1943f71,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:20.704999 UTC,,,
48f4f690-0b9b-11e8-9d1b-1decb1943f71,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:20.713999 UTC,,,
4adb1bb0-0b9b-11e8-9d1b-1decb1943f71,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:23.901000 UTC,,,
4adbdf00-0b9b-11e8-9d1b-1decb1943f71,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:23.901000 UTC,,,
502923f0-0b9b-11e8-9a93-992489af9fc0,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:32.799999 UTC,,,
502a3560-0b9b-11e8-9a93-992489af9fc0,26ce4990-0b9b-11e8-833a-8f998797f5d0,2018-02-07 00:10:32.802000 UTC,,,
a3c54110-0b9b-11e8-9a93-b52d30de1ca2,a3ad2530-0b9b-11e8-9a93-b52d30de1ca2,2018-02-07 00:12:53.720000 UTC,SSonnyiyONRnrjiY/QDAiw==,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc
b44223f0-0b9b-11e8-9785-89631e066e41,a3ad2530-0b9b-11e8-9a93-b52d30de1ca2,2018-02-07 00:13:20.930000 UTC,,,
b483c0d0-0b9b-11e8-9785-89631e066e41,a3ad2530-0b9b-11e8-9a93-b52d30de1ca2,2018-02-07 00:13:21.342000 UTC,,,
